prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P4813,"""PARES ID""@en",72,1765,4.08,,,
http://www.wikidata.org/entity/P3674,"""Mutopia composer ID""@en",5,123,4.07,,,
http://www.wikidata.org/entity/P1309,"""EGAXA ID""@en",253,6262,4.04,,,
http://www.wikidata.org/entity/P4491,"""Isidore scholar ID""@en",229,5676,4.03,,,
http://www.wikidata.org/entity/P9791,"""ASEE person ID""@en",34,845,4.02,,,
http://www.wikidata.org/entity/P9780,"""The Women's Print History Project person ID""@en",66,1645,4.01,,,
http://www.wikidata.org/entity/P10832,"""WorldCat Entities ID""@en",13,327,3.98,,,
http://www.wikidata.org/entity/P8313,"""Den Store Danske ID""@en",1024,26134,3.92,,,
http://www.wikidata.org/entity/P947,"""RSL ID (person)""@en",63,1609,3.92,,,
http://www.wikidata.org/entity/P6984,"""Rupa Publications author ID""@en",8,207,3.86,,,
http://www.wikidata.org/entity/P5390,"""Classiques des sciences sociales ID""@en",20,519,3.85,,,
http://www.wikidata.org/entity/P4629,"""Online Books Page author ID""@en",660,17214,3.83,,,
http://www.wikidata.org/entity/P3280,"""BAnQ author ID""@en",514,13551,3.79,,,
http://www.wikidata.org/entity/P6821,"""Uppsala University Alvin ID""@en",1122,29885,3.75,,,
http://www.wikidata.org/entity/P888,"""JSTOR article ID""@en",1,27,3.70,,,
http://www.wikidata.org/entity/P3599,"""archival creator authority record at the Archives nationales""@en",25,681,3.67,,,
http://www.wikidata.org/entity/P10883,"""The Encyclopedia of Fantasy ID""@en",42,1147,3.66,,,
http://www.wikidata.org/entity/P7865,"""CoBiS author ID""@en",653,17921,3.64,,,
http://www.wikidata.org/entity/P10021,"""UAE University Libraries ID""@en",14,385,3.64,,,
http://www.wikidata.org/entity/P9642,"""Olschki author ID""@en",29,799,3.63,,,
http://www.wikidata.org/entity/P6870,"""Latvian National Encyclopedia Online ID""@en",29,799,3.63,,,
http://www.wikidata.org/entity/P10535,"""RSPA modern author ID""@en",13,361,3.60,,,
